device_id,name,manufacturer,model,area,label_names,labels_direct_on_device,labels_inherited_from_entities,label_count,missing_labels,rule_failures,disabled_by,entry_type,entity_count,config_entries
ee31a493c77063188454f5f50a4fbfcd,Woonkamer rookmelder,FireAngel,CO alarm,Woonkamer,"Sensor, Zigbee, haghs_ignore","Sensor, Zigbee, haghs_ignore",Sensor,3,False,missing category: brand,,,7,d914edb87f840a427d90c7967f1290af
3388eb1f4a3c311e039a5cf21b2acb84,P1 meter,HomeWizard,Wi-Fi P1 Meter,Meterkast,"Energy meter, Sensor, Switch, WiFi","Energy meter, Sensor, Switch, WiFi",Sensor,4,False,missing category: brand,,,39,a2bd0c890b5698b9cfa77623f7648cf6
ad134a618bd0ea6925f2db7c98b2b6e6,Home Assistant Google Drive Backup,Home Assistant Google Drive Backup Repository,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
ab278773131c1fbeef693f1c7fa1a62d,KleinSpy2 (voordeur),Ubiquiti,G3 Instant,Hal beneden,"Camera, Sensor, WiFi","Camera, WiFi",Sensor,3,False,missing category: brand,,,24,3785398f726ec15f42a2f85273340d6b
1f128c97dd742c9aae52c305001e71f3,KleinSpy1 (veranda),Ubiquiti,G3 Instant,Veranda,"Camera, Sensor, WiFi","Camera, WiFi",Sensor,3,False,missing category: brand,,,24,3785398f726ec15f42a2f85273340d6b
d22faeecf748a8e11ebc72e0730a9f0e,Rudi knop,IKEA,TRADFRI on/off switch,Woonkamer,"Button, IKEA, Sensor, Zigbee","Button, IKEA, Zigbee",Sensor,4,False,,,,11,d914edb87f840a427d90c7967f1290af
d0bf97e976e09a07ab9df86a05c8d47a,Rudi smartwatch,samsung,SM-R870,Mobiel,"Mobile, Samsung, Sensor, Smartwatch, WiFi","Mobile, Samsung, Smartwatch, WiFi",Sensor,5,False,uncategorized label(s): Smartwatch,,,77,6d165d80dc770ad78520f1e28f47c3a6
d4524e341fb0202864d2fea0162c4768,Forecast,Met.no,Forecast,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,1,7b5d406d8c112b52e1bdbc5bd5f7327c
ab8f9b0174393bf77681a3cea7f94146,Rudi smartphone (S10),samsung,SM-G975F,Mobiel,"Mobile, Samsung, Sensor, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi",Sensor,5,False,uncategorized label(s): Smartphone,,,98,698e534b6e38d97b4811e0e376455562
4cb78d3d06048d2097d7b0f9bc4078e2,Repeater zolder,IKEA,TRADFRI signal repeater,Zolder,"IKEA, Node, Repeater, Zigbee","IKEA, Node, Repeater, Zigbee",,4,False,,,,9,d914edb87f840a427d90c7967f1290af
4c6b08aaed0263fc350ca82c71c0dc61,EPL Living room,EverythingSmartTechnology,Everything Presence Lite,Woonkamer,"Bluetooth, Presence, Sensor, haghs_ignore","Bluetooth, Presence, Sensor, haghs_ignore","Bluetooth, Presence, Sensor",4,False,missing category: brand,,,103,745c022daa10dd4ebc5ee8ea0886314e
0ca7b437feb296ae8e3431cf690c52ed,hci0 (D8:3A:DD:DF:6C:4A),Raspberry Pi Trading Ltd,bcm43438-bt,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,,0,2f2c533ad31c38880f0ae3a1862a7787
7624c6c55f5be1c922bc2235f4a08821,Deken Julius,IKEA,TRADFRI control outlet,Slaapkamer D/J,"Button, Zigbee","Button, Zigbee",,2,False,missing category: brand,,,10,d914edb87f840a427d90c7967f1290af
0b2632e86ca7d695138f9036623290bd,Gasmeter  (P1: 3c39e7285f8c),HomeWizard,HWE-P1,Meterkast,,,,0,True,no labels at all,user,,0,a2bd0c890b5698b9cfa77623f7648cf6
13e677b853ad797b8e7bca9f9fb8f627,ESPHome Device Builder,ESPHome,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
4c668be435eb5ac5eae8b29e160000f2,Rudi smartphone,samsung,SM-A556B,Mobiel,"Mobile, Samsung, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi",,4,False,missing category: function; uncategorized label(s): Smartphone,,,133,01KXGSJJTBR2NC5QVTSWSMM8J5
2df51c1a0cfc17ab0543590e121ac568,Slaapkamer raamsensor J/D,SONOFF,Contact sensor,Slaapkamer D/J,"IKEA, Sensor, Zigbee","IKEA, Sensor, Zigbee",Sensor,3,False,,,,7,d914edb87f840a427d90c7967f1290af
e4c2965f79fc6632c414aa8f62928f4b,Gasmeter (P1: 3c39e7285f8c),HomeWizard,HWE-P1,Meterkast,,,,0,True,no labels at all,user,,1,a2bd0c890b5698b9cfa77623f7648cf6
27a3f1522489f64e08f86a3baede3af2,Slaapkamer j/d temp,Aqara,Temperature and humidity sensor,Slaapkamer D/J,"Sensor, Thermostat, Zigbee","Sensor, Thermostat, Zigbee",Sensor,3,False,missing category: brand,,,8,d914edb87f840a427d90c7967f1290af
172896146672ae8a8c01012ee4ba1efe,ikea parasol 2,IKEA,PARASOLL door/window sensor,Slaapkamer D/J,"IKEA, Sensor, Zigbee, haghs_ignore","IKEA, Sensor, Zigbee, haghs_ignore",Sensor,4,False,,,,10,d914edb87f840a427d90c7967f1290af
203496af6ab20593fa844e3fa240ef57,A55 van Rudi,,,Mobiel,"Mobile, Samsung, Sensor, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi",Sensor,5,False,uncategorized label(s): Smartphone,,,1,01J73XBJCBC5W5X0AHEDE83QFT
047c8dd81770128626aff874085d31e6,Darius's Galaxy S20 FE 5G,,,Mobiel,"Mobile, Samsung, Sensor, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi",Sensor,5,False,uncategorized label(s): Smartphone,,,1,01J73XBJCBC5W5X0AHEDE83QFT
717962df10e0243fe377419448952aeb,Blackius,,,Mobiel,"Smartthings, Tag","Smartthings, Tag",,2,False,"missing category: brand, protocol",,,1,01J73XBJCBC5W5X0AHEDE83QFT
0dd14c9adb843475c9d8a62671a6359a,Groenius,,,Mobiel,"Smartthings, Tag","Smartthings, Tag",,2,False,"missing category: brand, protocol",,,0,01J73XBJCBC5W5X0AHEDE83QFT
