entity_id,name,domain,platform,device_id,device_name,area,area_source,entity_category,label_names,label_count,missing_labels,rule_failures,disabled_by,hidden_by
number.hal_boven_plafondlamp_1_on_off_transition_time,On/Off transition time,number,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,config,,0,True,no labels at all,,
select.hal_boven_plafondlamp_1_power_on_behavior_on_startup,Power-on behavior,select,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,config,,0,True,no labels at all,,
update.hal_boven_plafondlamp_3_firmware,Firmware,update,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,config,,0,True,no labels at all,,
button.hal_boven_plafondlamp_3_identify,Identify,button,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,diagnostic,,0,True,no labels at all,,
light.hal_boven_plafondlamp_3,,light,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,,,0,True,no labels at all,,
number.hal_boven_plafondlamp_3_off_transition_time,Off transition time,number,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_3_on_level,On level,number,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_3_on_transition_time,On transition time,number,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_3_on_off_transition_time,On/Off transition time,number,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,config,,0,True,no labels at all,,
select.hal_boven_plafondlamp_3_power_on_behavior_on_startup,Power-on behavior,select,matter,97e5a7b923135aac9a34277d3ffbb2cc,Hal boven - plafondlamp 3,Hal boven,device,config,,0,True,no labels at all,,
light.hal_boven_plafondlamp,Hal boven plafondlamp,light,group,,,Hal boven,entity,,"Digital only, Group, Helper",3,False,"missing category: brand, protocol; uncategorized label(s): Group",,
update.adaptive_lighting_update,Update,update,hacs,5120e261fa50ace375f7dd89fe57abc6,Adaptive Lighting,Unknown,device,config,,0,True,no labels at all,,
switch.adaptive_lighting_pre_release,Pre-release,switch,hacs,5120e261fa50ace375f7dd89fe57abc6,Adaptive Lighting,Unknown,device,diagnostic,,0,True,no labels at all,integration,
switch.deken_r_r,,switch,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,,,0,True,no labels at all,,
