entity_id,state,domain,friendly_name
sensor.espsomfyrts_min_memory,104696,sensor,Zonnescherm Min Memory
sensor.espsomfyrts_ip_address,192.168.178.62,sensor,Zonnescherm IP Address
switch.espsomfyrts_zonnescherm_zon_sensor,off,switch,Zonnescherm
update.espsomfyrts_firmware_update,off,update,Zonnescherm Firmware Update
sensor.energy_production_today_4,4.134,sensor,Solar production forecast Estimated energy production - today
sensor.energy_production_today_remaining_4,0.021,sensor,Solar production forecast Estimated energy production - remaining today
sensor.energy_production_tomorrow_4,4.77,sensor,Solar production forecast Estimated energy production - tomorrow
sensor.power_highest_peak_time_today_4,2026-08-03T09:00:00+00:00,sensor,Solar production forecast Highest power peak time - today
sensor.power_highest_peak_time_tomorrow_4,2026-08-04T11:00:00+00:00,sensor,Solar production forecast Highest power peak time - tomorrow
sensor.power_production_now_4,47,sensor,Solar production forecast Estimated power production - now
sensor.energy_current_hour_4,0.089,sensor,Solar production forecast Estimated energy production - this hour
sensor.energy_next_hour_4,0.021,sensor,Solar production forecast Estimated energy production - next hour
sensor.energy_production_today_2,2.628,sensor,Solar production forecast Estimated energy production - today
